アクター設定,,,,
本文,「黒い雪の夜特集」〇△新聞社発行,"""The Night of the Black Snow Special""",Published by 〇△ Newspaper,
アクター設定,アーシア 通常,,,
本文,調べてみましょうか…,Let's look it up.,,
アクター設定,ニナ 驚き・動揺,,,
本文,わたしに読めるかな…,I'm not sure I can read it...,,
アクター設定,レミィ 特殊１,,,
本文,これは…\.,This is...\.,,
本文,本だわ,a book.,,
アクター設定,マリー 通常,,,
本文,読書の季節がやってきたね\.,The season for reading is here.\.,,
本文,まぁ\. アタシの場合は通年だけど,Although\c I do that all year round.,,
アクター設定,カイト 通常,,,
本文,どうしようかな…,What should I do?,,
アクター設定,,,,
本文,\>「黒い雪の夜特集」〇△新聞社発行,"\>""The Night of the Black Snow Special""",Published by 〇△ Newspaper,
選択肢の準備,読んでみる,やめておく,Read it.,Skip it.
選択肢の遷移先,0,読んでみる,Read it.,
アクター設定,,,,
本文,「黒い雪の夜特集」〇△新聞社発行,"""The Night of the Black Snow Special""",Published by 〇△ Newspaper,
アクター設定,,,,
本文,※本書は旧魔法学校により検閲済みである,Note: This article has been reviewed,by the old magic school.,
アクター設定,,,,
本文,黒い雪の夜は結晶化騒動の最中に起きた自然現象で…,The night of the black snow was a,natural phenomenon caused by,the crystallization process.
アクター設定,,,,
本文,北の雪原が広がる大地に,The name originates from the black snow,,
本文,黒い色の雪が降ったことに由来する,that fell on the northern snow fields.,,
アクター設定,,,,
本文,しかし当時は政情不安定であり,However\c the political situation was,,
本文,また当事者等の粛清や各地方の勢力細分化したため…,unstable and many involved were purged,or fragmented into smaller factions.,
アクター設定,,,,
本文,確かな資料は存在せず,Therefore\c there are no authoritative,,
本文,事象の解明には当時を知る者の証言に頼るほかない,resources\c and we have only witness,testimony to rely on.,
アクター設定,,,,
本文,そこで我々編集部は…,The editing team here,,
本文,独自に取材した内容をここに記録する,has compiled our own,independent research.,
アクター設定,,,,
本文,証言①…,Testimony 1,,
アクター設定,,,,
本文,未明に突然爆発音があった,There was an explosion at dawn.,,
本文,北の雪原の方角であった,It came from the direction,of the northern snow fields.,
アクター設定,,,,
本文,証言②…,Testimony 2,,
アクター設定,,,,
本文,一瞬だけ強力な光が夜空を照らした,There was a flash of bright light,,
本文,その後に雪が降り出した,that lit up the night sky.,Afterwards\c snow began to fall.,
アクター設定,,,,
本文,証言③…,Testimony 3,,
アクター設定,,,,
本文,雪は夜明けには止んで積もるほどではなかった,The snow stopped by daybreak\c,,
本文,地面に残った雪は溶けて色はわからなかった,and wasn't enough to accumulate.,The color of the melted snow was unknown.,
アクター設定,,,,
本文,証言④…,Testimony 4,,
アクター設定,,,,
本文,同時刻にいくつかの北の集落がマモノに襲われたらしい,Monsters attacked a number of,northern settlements at the same time,this all took place.
選択肢の遷移先,1,やめておく,Skip it.,
