アクター設定,,,,,,
本文,ピアノが置かれている,There's a piano.,,,,
アクター設定,レミィ 通常,,,,,
本文,何か弾いてみようかしら…,Maybe I'll play something.,,,,
選択肢の準備,軽やかな曲,楽しい曲,落ち着いた曲,A lighthearted song.,A fun song.,A relaxing song.
選択肢の遷移先,0,軽やかな曲,A lighthearted song.,,,
選択肢の遷移先,1,楽しい曲,A fun song.,,,
選択肢の遷移先,2,落ち着いた曲,A relaxing song.,,,
アクター設定,レミィ 通常,,,,,
本文,\N[5]は\.,Can you play?,,,,
本文,弾かないのかしら？,,,,,
アクター設定,カイト 通常,,,,,
本文,ボクは調律はできるけど\.,I can tune it\c\.,,,,
本文,弾く方はちょっと…,but not play it.,,,,
アクター設定,レミィ 驚き・動揺,,,,,
本文,そうなの…？,Really?,,,,
アクター設定,カイト 笑顔,,,,,
本文,\N[3]さんは弾けますか？,Can you play?,,,,
アクター設定,レミィ 通常,,,,,
本文,えぇ…\.,Yes\c\.,,,,
本文,それなりには,a bit.,,,,
アクター設定,カイト 通常,,,,,
本文,そうなんですね\.,Wow\c I didn't know that.,,,,
本文,すごいなぁ,,,,,
アクター設定,レミィ 通常,,,,,
本文,弾けるといっても…,I mean\c I can play\c,,,,
本文,子供のお遊戯みたいなものよ,but I do it only as a hobby.,,,,
アクター設定,カイト 笑顔,,,,,
本文,いえ…\.それでも\.,That's still impressive.\.,,,,
本文,弾いて貰えると嬉しいですから,I'd love if you played something.,,,,
アクター設定,レミィ 通常,,,,,
本文,なるほど…,I see...,,,,
