\N[6]の魔法使い時代の先天属性は？,1,雷,白,黒,0
この中で成人していないのは？,1,\N[3],\N[6],\N[4],1
\N[6]の前職は？,1,軍の隊長,外交官,学校の先生,2
\N[6]と\N[3]の昔の関係は？,2,先生と生徒,上司と部下,雇い主と傭兵,3
\N[5]くんが使えない魔法属性は？,2,氷,雷,黒,4
北部地方でマモノが発生している原因は？（\N[4]調べ）,2,未知の世界につながるゲートの存在,黒水晶の瘴気を含んだ雪,自然現象,5
\N[4]と\N[7]の遺伝的関係は？,3,姉妹,父親違いの姉妹,母親違いの姉妹,6
\N[14]は誘拐事件の後どうなった？（\N[4]調べ）,3,行方不明,行方不明だと思う,行方不明ってことにしている,7
\N[1]の前職は？（\N[4]調べ）,3,西国の傭兵,西国の情報屋,西国の諜報員,8
\N[6]が戦場で助けて孤児院に引き取ったのは？,3,\N[1],\N[3],\N[2],9
「黒い雪の夜」は実際にはどんな現象が起きていた？,1,黒水晶の破片が雪に混じった,隕石が破裂して火球になった,マモノの遺灰が吹雪で巻き上がった,10
\N[5]くんがよく持ち歩いているものは？,3,クロッキー帳,防災グッズ,ピアノの調律用具,11
最近巷で噂になっているものは？,2,不況の波がせまっている,魔法使いがマモノになる,新しい銭湯ができる,12
\N[3]の言う「魔法使い」はどういう意味だと思われる？,1,\N[3]の下で働くこと,魔法を使える人のこと,麻婆豆腐が作れる人のこと,13
\N[4]先生・すなわちアタシの好きな飲み物は？,2,はちみつレモン,コーヒー牛乳,ロイヤルストレート,14
\N[2]は雷属性の魔法を同時にいくつ装備できる？,3,２つ,３つ,４つ,15
四年前の戦争は俗に何と呼ばれている？,1,魔法大戦,西南戦争,独立戦争,16
二年前の内紛は俗に何と呼ばれている？,3,お家騒動,米騒動,結晶化騒動,17
アタシより背が低いのは？,3,\N[6],\N[2],該当者なし,18
黒属性に関連している精神素体は？,1,自己犠牲,破壊,虚勢,19
\N[4]の教師としての担当教科は？,2,魔法科学,特に決まっていない,保健体育,20
１００グラムのドーナツのカロリーは？,2,約０キロカロリー,約３７５キロカロリー,約７００キロカロリー,21
空気中に一番多く存在している気体は？,3,酸素,二酸化炭素,窒素,22
一般的に海水は舐めるとどんな味？,2,甘い,塩辛い,無味,23
一般的にポトフは何の肉を煮込んだもの？,1,牛肉,鶏肉,ラム肉,24
パンはパンでも物理的に食べられないパンは？,3,カビの生えたパン,盗んできたパン,フライパン,25
この中で出世魚は？,1,ハマチ,アナゴ,トビウオ,26
一般的なクモの目の数は？,3,４つ,６つ,８つ,27
深海魚を陸に上げるとどうなる？,2,蒸発する,膨らむ,消滅する,28
ハニカム構造は俗に何角形のことを云う？,2,四角形,六角形,八角形,29
１から１０までの整数を足した数の合計は？,3,３３,４４,５５,30
マラソンで２位の人を抜いたらその人は何位になる？,2,１位,２位,２位タイ,31
布製のメビウスの輪をハサミで切ったらどうなる？,3,世界が終わる,切るという概念がない,普通に切れる,32
５０円のリンゴを３つ買った時の残り所持金は？,3,１５０円未満,１５０円以上,持ち合わせによる,33
この中で一番小さい素数は？,2,０,１,２,34
このクイズは全部で何問ある？,2,２５問,５０問,１００問,35
葦毛の馬が生まれる条件は？,3,解明されていない,父馬が葦毛である,父馬と母馬のどちらかが葦毛である,36
この中でフランス語で「猫の舌」を意味するお菓子は？,3,サブレ,マカロン,ラング・ド・シャ,37
チョコレート専門の菓子職人を俗に何という？,3,コック,パティシエ,ショコラティエ,38
この中でしょうゆではないのは？,1,タルタルソース,ソイソース,すじょうゆ,39
競馬でダートコースは何の上を走るレース？,1,砂,雪,芝,40
狐の嫁入りといわれる気象現象は？,2,雲一つない快晴,小雨の降る晴天,突然の雷,41
天気予報の降水確率が１００％の時の実際の天気は？,3,雨,雪,その時にならないとわからない,42
日食は何が何に隠れる現象？,1,太陽が月に隠れる現象,太陽が地球に隠れる現象,太陽が月と地球に隠れる現象,43
潮の満ち引きは何の力で起こる現象？,3,遠心力,地殻変動,月の引力,44
軽石とはどんな石？,3,川によって削られた石,大気の塵が集まってできた石,マグマが冷えてできた石,45
日本語Windows版「RPGツクール95」は発売されたのは？,3,１９９５年,１９９６年,１９９７年,46
ゲームのジャンルでSTGは何の略？,2,アクションゲーム,シューティングゲーム,ロールプレイングゲーム,47
この中で正解はどれ？,2,一番下の選択肢は不正解です,一つ下の選択肢は嘘をついています,一つ上の選択肢は不正解です,48
RPGで正面を向きながら歩く様を表現したものは？,3,エビ歩き,カイ歩き,カニ歩き,49
