アクター設定,,,
本文,Ａ－Ｃａ,A-Ca.,
アクター設定,,,
本文,コードネーム,Code Name,
本文,Ａ－Ｃａ,A-Ca.,
アクター設定,,,
本文,聞こえているか？,Can you hear me?,
アクター設定,,,
本文,応答せよ,Answer me\c,
本文,Ａ－Ｃａ,A-Ca.,
アクター設定,,,
本文,季節外れの雪だった,The snowfall was unexpected,for this time of year.
アクター設定,,,
本文,応答せよ！,Answer me\c,
本文,Ａ－Ｃａ,A-Ca!,
アクター設定,,,
本文,これは…,Is this real?,
本文,現実なんでしょうか？,,
アクター設定,,,
本文,現状を報告せよ,Give a status report\c,
本文,Ａ－Ｃａ,A-Ca.,
アクター設定,,,
本文,現状は…,I'm...,
アクター設定,,,
本文,わからないです,unsure of my status.,
アクター設定,,,
本文,何が起きている？,What is happening\c,
本文,Ａ－Ｃａ,A-Ca?,
アクター設定,,,
本文,事象のみ回答せよ！,Only give me the facts\c,
本文,Ａ－Ｃａ,A-Ca!,
アクター設定,,,
本文,事象…,The facts?,
アクター設定,,,
本文,黒い雪が降っていて,Black snow is falling.,
アクター設定,,,
本文,みんなの…,And...,
アクター設定,,,
本文,姿がありません,I don't see anyone.,
アクター設定,,,
本文,他に生存者は？,What about the other survivors\c,
本文,Ａ－Ｃａ,A-Ca?,
アクター設定,,,
本文,生存者…,All the other survivors,
アクター設定,,,
本文,自分以外は…,besides myself,
アクター設定,,,
本文,マモノになりました,have turned into monsters.,
アクター設定,,,
本文,マモノにだと！？,Monsters?!,
本文,Ａ－Ｃａ,A-Ca.,
アクター設定,,,
本文,虚偽報告は重罪にあたる！,Giving a false report will be punished!,
本文,Ａ－Ｃａ,A-Ca.,
アクター設定,,,
本文,正確な回答を求める！,Give an accurate report\c,
本文,Ａ－Ｃａ,A-Ca!,
アクター設定,,,
本文,応答せよ！,Come in\c,
本文,Ａ－Ｃａ,A-Ca!,
アクター設定,,,
本文,応答せよ！,Come in\c,
本文,Ａ－Ｃａ,A-Ca!,
アクター設定,レミィ 通常,,
本文,貴方…,You...,
アクター設定,レミィ 通常,,
本文,何をしているのかしら？,What are you doing?,
アクター設定,レミィ 不信・怒り,,
本文,大丈夫？,Are you okay?,
アクター設定,,,
本文,…？,...?,
アクター設定,レミィ 驚き・動揺,,
本文,立てるかしら？,Can you stand?,
アクター設定,,,
本文,無理…,No...,
アクター設定,,,
本文,足がパンパンで…,My feet are swollen.,
アクター設定,レミィ 通常,,
本文,そう…,I see.,
アクター設定,レミィ 通常,,
本文,貴方…名前は？,What's your name?,
アクター設定,,,
本文,名前…,My name...?,
アクター設定,,,
本文,なんだっけ…？\.,What was it again?\.,
本文,覚えてない,I don't remember.,
アクター設定,レミィ 通常,,
本文,覚えていない…？,You don't remember?,
アクター設定,,,
本文,コードネームなら,My code name is,
アクター設定,,,
本文,Ａ－Ｃａ,A-Ca.,
アクター設定,レミィ 通常,,
本文,…,...,
アクター設定,レミィ 通常,,
本文,\N[1]？,\N[1]?,
アクター設定,,,
本文,違う,No.,
本文,Ａ－Ｃａ,A-Ca.,
アクター設定,レミィ 通常,,
本文,…,...,
アクター設定,レミィ 通常,,
本文,\N[1]？,\N[1]?,
アクター設定,,,
本文,…,...,
アクター設定,,,
本文,それで良いです\.,That's fine.\.,
本文,あたしの名前は…,My name is...,
アクター設定,,,
本文,\N[1]です,\N[1].,
